 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,29546,99.016,37.976,0,165,3009.718,160.706,2259.738,2840,9,333,317,215.410,174.639,10.772,0.073,334.834,2840,160,6.000,286.917,1.233,0.811,0.396
2,3076,81.380,36.164,14,165,2968.574,60.805,250.392,2936,24,66,75,70.227,55.769,92.060,0.617,77.130,2961,99,76.504,64.119,1.259,0.794,0.838
3,3523,82.742,57.935,0,165,2677.321,103.941,627.796,2631,37,87,140,110.751,40.502,116.825,0.112,144.700,2660,43,113.199,64.276,2.734,0.366,0.536
4,5015,100.512,61.681,0,165,240.653,115.333,1056.011,169,49,141,138,80.860,78.967,65.071,0.057,164.210,203,49,122.819,134.263,1.024,0.977,0.303
5,1158,87.310,64.682,0,165,2171.458,144.619,326.576,2132,118,81,56,56.996,25.869,18.322,0.136,87.092,2132,151,21.557,43.596,2.203,0.454,0.487
6,4114,86.802,32.712,29,165,2997.439,151.122,374.191,2949,118,97,64,86.736,60.392,172.093,0.369,98.478,2949,141,170.059,63.583,1.436,0.696,0.856
7,1669,72.258,66.776,0,165,1316.393,298.309,359.404,1288,272,68,53,54.720,38.835,17.904,0.162,70.774,1288,319,23.305,49.960,1.409,0.710,0.638
8,1715,161.834,3.062,145,165,2185.517,385.897,304.434,2135,359,78,68,69.805,31.282,139.528,0.233,92.418,2135,364,144.246,46.505,2.232,0.448,0.551
9,41493,87.133,52.270,0,165,423.150,688.188,7079.743,91,382,766,548,252.161,209.511,177.071,0.010,803.097,106,911,41.011,507.897,1.204,0.831,0.144
10,1106,161.529,3.569,148,165,2160.518,419.142,285.362,2126,392,65,45,50.240,28.030,179.848,0.171,66.098,2128,411,162.387,43.470,1.792,0.558,0.547
11,2013,95.790,46.403,0,165,3218.112,570.904,641.889,3073,550,288,39,184.030,13.927,2.638,0.061,288.501,3073,572,176.622,37.777,13.214,0.076,0.294
12,3540,91.069,52.802,0,165,1731.195,581.994,467.144,1672,554,134,55,117.531,38.350,176.039,0.204,134.952,1672,591,6.809,55.000,3.065,0.326,0.570
