i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1072,153.066,2.975,143,157,1752.726,2235.179,253.907,1734,2205,47,67,59.308,23.014,65.648,0.209,76.059,1744,2272,61.75,33.596,2.577,0.38799999999999996,0.601
2,1177,70.961,54.255,0,157,2159.956,1496.374,338.13199999999995,2097,1458,117,71,70.48,21.263,24.647,0.129,123.329,2097,1498,18.435,49.74,3.315,0.302,0.331
3,1189,139.939,12.954,110,157,213.00900000000001,2972.107,421.546,192,2888,65,172,111.07600000000001,13.629000000000001,107.655,0.084,180.887,197,2888,108.03399999999999,28.776999999999997,8.15,0.12300000000000001,0.309
4,1319,21.43,43.746,0,157,824.936,2447.656,200.551,807,2415,36,74,61.67100000000001,27.232,98.883,0.41200000000000003,74.967,815,2415,99.211,35.226,2.265,0.442,0.758
5,1348,70.07300000000001,55.926,0,157,2024.921,71.464,378.375,1990,4,76,139,109.95700000000001,15.609000000000002,113.258,0.11800000000000001,157.003,1991,4,117.708,31.428,7.044,0.142,0.401
6,1370,50.364,52.896,0,157,2205.715,1562.639,335.68800000000005,2159,1508,87,125,130.161,13.401,52.625,0.153,147.872,2160,1631,54.913000000000004,21.154,9.712,0.10300000000000001,0.534
7,1472,96.667,47.13,0,157,3283.65,3299.585,501.186,3196,3263,170,88,92.553,20.25,22.96,0.07400000000000001,177.775,3196,3318,17.008,54.391000000000005,4.571000000000001,0.21899999999999997,0.23399999999999999
8,7603,145.084,10.323,32,157,197.696,2733.05,1185.266,93,2683,195,137,150.08,64.502,157.80100000000002,0.068,204.299,93,2700,160.856,113.865,2.327,0.43,0.513
9,7907,43.93899999999999,53.715,0,157,1752.638,914.3960000000001,825.335,1663,842,235,115,161.615,62.293,171.071,0.146,237.169,1663,899,172.24599999999998,107.23700000000001,2.594,0.385,0.496
10,8321,54.543,52.895,0,157,2248.893,1474.0120000000002,1069.2,2148,1386,147,248,159.59799999999998,66.383,63.364,0.091,276.471,2150,1634,61.952,98.78299999999999,2.404,0.41600000000000004,0.47600000000000003
11,9080,47.56100000000001,53.36,0,157,574.607,524.2130000000001,1133.325,422,435,244,151,179.269,64.49,164.62900000000002,0.08900000000000001,255.267,422,487,162.914,128.5,2.78,0.36,0.449
12,9235,54.794,52.818999999999996,0,157,796.3910000000001,3268.408,1044.171,735,3174,122,248,167.28599999999997,70.289,86.439,0.106,248.727,785,3422,85.619,114.068,2.38,0.42,0.397
13,9375,46.815,53.221000000000004,0,157,1109.258,1293.4460000000001,1394.185,957,1202,263,154,160.72299999999998,74.268,170.94,0.061,264.382,957,1283,5.862,150.347,2.164,0.462,0.315
14,9881,127.344,38.704,0,157,1315.8970000000002,1503.592,1199.374,1223,1419,172,175,151.27700000000002,83.164,41.582,0.086,206.48,1232,1574,44.608000000000004,105.64299999999999,1.819,0.55,0.5579999999999999
15,12130,116.02,37.68,0,157,3047.2509999999997,2646.083,683.377,2955,2578,188,136,170.778,90.436,153.922,0.326,196.88099999999997,2963,2597,149.136,101.365,1.8880000000000001,0.53,0.7340000000000001
16,15608,68.855,52.416000000000004,0,157,1883.0929999999998,3163.07,2104.927,1762,3083,250,167,188.30200000000002,105.536,0.948,0.044000000000000004,254.757,1762,3176,168.91099999999997,164.06,1.784,0.56,0.518
17,31861,55.37,54.646,0,157,1345.7179999999998,317.643,2301.219,1202,155,350,325,202.115,200.71099999999998,17.69,0.076,371.769,1205,420,21.458000000000002,295.796,1.0070000000000001,0.993,0.415
