i,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1042,78.87899999999999,44.966,0,137,3308.28,687.2610000000001,162.752,3289,664,35,47,40.068000000000005,33.111,78.35300000000001,0.494,48.104,3291,699,46.685,34.013000000000005,1.21,0.826,0.85
2,1047,36.608000000000004,49.48,0,137,1154.733,3031.317,199.137,1122,3010,65,36,56.913999999999994,23.423000000000002,167.55900000000003,0.332,66.098,1122,3025,169.54,33.098,2.43,0.41200000000000003,0.728
3,1151,16.163,34.967,0,137,1878.56,2111.5460000000003,285.948,1858,2075,43,66,60.306000000000004,24.301,122.816,0.177,74.793,1862,2075,119.65,36.132,2.4819999999999998,0.40299999999999997,0.624
4,1190,47.583,55.94,0,137,1839.414,2853.7129999999997,232.25,1801,2838,81,36,78.309,19.348,13.181,0.27699999999999997,84.20200000000001,1801,2865,15.852,27.883000000000003,4.047,0.247,0.657
5,1495,38.981,49.791000000000004,0,137,1537.773,2999.578,261.32099999999997,1511,2965,52,75,69.543,27.371,119.945,0.275,81.541,1518,2965,113.10600000000001,36.746,2.541,0.39399999999999996,0.649
6,1552,20.739,39.071,0,137,512.015,1157.498,376.96,457,1133,98,56,72.78699999999999,27.149,21.698,0.13699999999999998,98.32600000000001,457,1169,4.667,38.441,2.681,0.373,0.499
7,2324,125.851,8.202,95,137,2003.352,2263.7960000000003,466.74199999999996,1965,2236,79,56,68.331,43.303999999999995,3.905,0.134,81.633,1965,2279,30.964000000000002,55.879,1.578,0.634,0.637
8,3689,107.15,27.175,0,137,3890.8740000000003,156.88,674.808,3838,116,104,98,76.986,61.011,21.622,0.102,104.809,3838,133,164.505,92.913,1.262,0.7929999999999999,0.545
9,4896,99.77,32.655,0,137,3749.6540000000005,318.155,1080.965,3693,261,125,108,83.844,74.35,178.354,0.053,125.399,3693,324,175.426,107.309,1.128,0.887,0.499
10,4922,74.46600000000001,47.92100000000001,0,137,1874.43,2472.271,438.014,1807,2427,127,88,98.375,63.70399999999999,11.773,0.322,127.738,1807,2483,9.462,81.882,1.544,0.648,0.664
11,5170,66.605,50.858999999999995,0,137,2473.075,3119.5290000000005,446.6,2420,3072,117,90,90.059,73.092,161.688,0.326,117.61399999999999,2420,3124,174.144,89.382,1.232,0.812,0.688
12,5281,77.418,46.312,0,137,450.441,3142.205,682.7080000000001,383,3097,133,87,102.25,65.76,0.932,0.142,133.015,383,3150,0.862,85.772,1.555,0.643,0.653
13,5327,77.74,46.221000000000004,0,137,3529.658,1111.724,553.352,3460,1066,128,94,99.40799999999999,68.229,8.89,0.21899999999999997,129.29399999999998,3462,1129,12.960999999999999,84.47,1.4569999999999999,0.6859999999999999,0.654
